tournament,year,date,home_team,away_team,actual_home,actual_away,model_home,model_draw,model_away,book_home,book_draw,book_away,tvd,model_favorite,book_favorite,favorite_flip,model_prediction,model_points,model_decision_margin,blend00_prediction,blend00_points,blend00_decision_margin,blend005_prediction,blend005_points,blend005_decision_margin,blend01_prediction,blend01_points,blend01_decision_margin,blend015_prediction,blend015_points,blend015_decision_margin,blend02_prediction,blend02_points,blend02_decision_margin,blend025_prediction,blend025_points,blend025_decision_margin,blend03_prediction,blend03_points,blend03_decision_margin,blend035_prediction,blend035_points,blend035_decision_margin,blend04_prediction,blend04_points,blend04_decision_margin,blend045_prediction,blend045_points,blend045_decision_margin,blend05_prediction,blend05_points,blend05_decision_margin,blend055_prediction,blend055_points,blend055_decision_margin,blend06_prediction,blend06_points,blend06_decision_margin,blend065_prediction,blend065_points,blend065_decision_margin,blend07_prediction,blend07_points,blend07_decision_margin,blend075_prediction,blend075_points,blend075_decision_margin,blend08_prediction,blend08_points,blend08_decision_margin,blend085_prediction,blend085_points,blend085_decision_margin,blend09_prediction,blend09_points,blend09_decision_margin,blend095_prediction,blend095_points,blend095_decision_margin,blend10_prediction,blend10_points,blend10_decision_margin,oracle_points,oracle_gain,n_best_alphas,best_alphas
African Cup of Nations,2015,2015-01-28,Guinea,Mali,1,1,0.4185887472882411,0.2687228809241773,0.3126883717875816,0.3280734123900047,0.3252784274921669,0.3466481601173401,0.0905153348979921,home,away,True,2-1,0,0.0165917353946127,1-1,3,0.0650850460037275,1-1,3,0.0623567497248962,1-1,3,0.0596284534460659,1-1,3,0.0569001571672352,1-1,3,0.0541718608884053,1-1,3,0.0468219012543315,1-1,3,0.0340696245457768,1-1,3,0.0213173478372223,1-1,3,0.0085650711286678,2-1,0,0.004187205579885,2-1,0,0.0148005756092637,2-1,0,0.0149799979946881,2-1,0,0.0151594203801126,2-1,0,0.0153388427655369,2-1,0,0.0155182651509614,2-1,0,0.0156976875363857,2-1,0,0.0158771099218101,2-1,0,0.0160565323072345,2-1,0,0.0162359546926591,2-1,0,0.0164153770780833,2-1,0,0.0165947994635078,3,3,9,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend04"
African Cup of Nations,2015,2015-01-27,Senegal,Algeria,0,2,0.4050162066331843,0.3181010688954985,0.2768827244713172,0.324824611416516,0.3216337496410693,0.3535416389419221,0.080191595216422,home,away,True,1-0,0,0.0452648027351864,0-1,1,0.032009148493036,0-1,1,0.0254041244566485,0-1,1,0.0187991004202624,0-1,1,0.0121940763838758,0-1,1,0.0055890523474899,0-0,0,0.0010159716888957,0-0,0,0.0037195038605787,1-0,0,0.0005091686619551,1-0,0,0.0077306908103592,1-0,0,0.0149522129587625,1-0,0,0.0221737351071658,1-0,0,0.0293952572555683,1-0,0,0.0366167794039709,1-0,0,0.0421291678545119,1-0,0,0.0425772926467509,1-0,0,0.0430254174389895,1-0,0,0.0434735422312281,1-0,0,0.043921667023467,1-0,0,0.0443697918157055,1-0,0,0.0448179166079443,1-0,0,0.0452660414001829,1,1,5,"blend005,blend00,blend015,blend01,blend02"
African Cup of Nations,2015,2015-01-27,South Africa,Ghana,1,2,0.2576787120522742,0.3611102200225239,0.3812110679252019,0.2302770913232398,0.2984473040711396,0.471275604606128,0.0900645366806723,away,away,False,0-0,0,0.039143292590504,0-1,1,0.1581187083259493,0-1,1,0.1566078208466551,0-1,1,0.1550969333673607,0-1,1,0.1535860458880659,0-1,1,0.1520751584087712,0-1,1,0.1505642709294767,0-1,1,0.1490533834501821,0-1,1,0.1475424959708872,0-1,1,0.145403458481148,0-1,1,0.1300245426332461,0-1,1,0.114645626785343,0-1,1,0.09926671093744,0-1,1,0.0838877950895352,0-1,1,0.0685088792416301,0-1,1,0.0531299633937242,0-1,1,0.0377510475458175,0-1,1,0.02237213169791,0-1,1,0.006993215850002,0-0,0,0.0083856999979073,0-0,0,0.0237646158458166,0-0,0,0.0391435316937273,1,1,18,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05,blend065,blend06,blend075,blend07,blend085,blend08"
African Cup of Nations,2015,2015-01-22,Cape Verde,DR Congo,0,0,0.353885483932698,0.3071966352244457,0.3389178808428564,0.2802607383962068,0.3150527056810923,0.4046865559221934,0.0736247455362374,home,away,True,1-0,0,0.0035818814218112,0-1,0,0.0276202282041253,0-1,0,0.0273957895876463,0-1,0,0.0271713509711666,0-1,0,0.0269469123546873,0-1,0,0.026722473738208,0-1,0,0.0264980351217287,0-1,0,0.0262735965052491,0-1,0,0.0260491578887698,0-1,0,0.0258247192722906,0-1,0,0.0256002806558113,0-1,0,0.0253758420393319,0-1,0,0.024912904715553,0-1,0,0.0201261187242992,0-1,0,0.0153393327330458,0-1,0,0.0105525467417924,0-1,0,0.0057657607505398,0-1,0,0.0009789747592867,1-1,1,0.0038078112319654,1-1,1,0.008594597223218,1-1,1,0.0033371523363554,1-0,0,0.0035820104663671,1,1,3,"blend085,blend095,blend09"
African Cup of Nations,2015,2015-01-22,Zambia,Tunisia,1,2,0.2904937658684719,0.366936170102247,0.3425700640292811,0.2428943633625074,0.3107261561060357,0.4463794805319342,0.1038094165024143,draw,away,True,0-0,0,0.1151392371065493,0-1,1,0.1731286673407955,0-1,1,0.1711155387450234,0-1,1,0.1691024101492513,0-1,1,0.1609232514642029,0-1,1,0.1446842533997059,0-1,1,0.1284452553352087,0-1,1,0.1122062572707097,0-1,1,0.0959672592062107,0-1,1,0.0797282611417107,0-1,1,0.0634892630772098,0-1,1,0.0472502650127079,0-1,1,0.0310112669482057,0-1,1,0.0147722688837027,0-0,0,0.0014667291808011,0-0,0,0.0177057272453063,0-0,0,0.0339447253098116,0-0,0,0.0501837233743174,0-0,0,0.0664227214388246,0-0,0,0.082661719503333,0-0,0,0.0989007175678413,0-0,0,0.1151397156323507,1,1,13,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05,blend06"
African Cup of Nations,2015,2015-01-19,Algeria,South Africa,3,1,0.2845193985565891,0.3623642105784288,0.3531163908649821,0.544670381937197,0.2823021542351722,0.17302746382715,0.2601509833808482,draw,home,True,0-0,0,0.0859642568145752,1-0,1,0.2388619598158319,1-0,1,0.2331575764126663,1-0,1,0.2274531930095015,1-0,1,0.2217488096063369,1-0,1,0.2160444262031713,1-0,1,0.2103400428000067,1-0,1,0.2046356593968423,1-0,1,0.1989312759936783,1-0,1,0.1932268925905144,1-0,1,0.1774740062495401,1-0,1,0.1429483869660071,1-0,1,0.1084227676824762,1-0,1,0.0738971483989471,1-0,1,0.0393715291154191,1-0,1,0.0048459098318931,0-0,0,0.0296797094516308,0-0,0,0.0642053287351537,0-0,0,0.0987309480186751,0-0,0,0.1038712320779969,0-0,0,0.0949179605977094,0-0,0,0.0859646891174213,1,1,15,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05,blend065,blend06,blend07"
African Cup of Nations,2015,2015-01-17,Equatorial Guinea,Congo,1,1,0.2794519392947653,0.3313525975648826,0.3891954631403521,0.3938205922691463,0.3093330860404135,0.2968463216899654,0.1143686529746183,away,home,True,0-1,0,0.0441500083048183,1-0,0,0.1106899639866615,1-0,0,0.1090827013996525,1-0,0,0.1031363659843912,1-0,0,0.0902768241820021,1-0,0,0.0774172823796136,1-0,0,0.0645577405772265,1-0,0,0.0516981987748395,1-0,0,0.0388386569724531,1-0,0,0.0259791151700673,1-0,0,0.0131195733676823,1-0,0,0.0002600315652974,0-0,1,0.0106116575224451,0-0,1,0.0045269479383198,0-1,0,0.0015577616458044,0-1,0,0.0076424712299298,0-1,0,0.0137271808140535,0-1,0,0.0198118903981781,0-1,0,0.0258965999823018,0-1,0,0.0319813095664248,0-1,0,0.0380660191505478,0-1,0,0.0441507287346706,1,1,2,"blend055,blend06"
African Cup of Nations,2017,2017-01-22,Cameroon,Gabon,0,0,0.4428816680228256,0.3682500797066825,0.1888682522704918,0.3182836613795368,0.3151753579459309,0.3665409806750268,0.1776727284042877,home,away,True,1-0,0,0.0282894380632753,0-1,0,0.0793908781356915,0-1,0,0.0549429316904899,0-1,0,0.030494985245287,0-1,0,0.0060470388000822,0-0,3,0.0184009076451225,0-0,3,0.0428488540903293,0-0,3,0.0546817733299049,0-0,3,0.0487552350883226,0-0,3,0.0428286968467399,0-0,3,0.0369021586051568,0-0,3,0.0309756203635734,0-0,3,0.02504908212199,0-0,3,0.019122543880407,0-0,3,0.0131960056388223,0-0,3,0.0072694673972383,0-0,3,0.0013429291556533,1-0,0,0.0045836090859318,1-0,0,0.0105101473275168,1-0,0,0.016436685569102,1-0,0,0.0223632238106881,1-0,0,0.0282897620522742,3,3,12,"blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05,blend065,blend06,blend075,blend07"
African Cup of Nations,2017,2017-01-17,Ghana,Uganda,1,0,0.454988562485158,0.3912963402098086,0.1537150973050332,0.5717248360580292,0.2909694047614828,0.1373057591799877,0.1167362735731212,home,home,False,0-0,0,0.014556137072786,1-0,3,0.2302124303274759,1-0,3,0.2278621614960628,1-0,3,0.2255118926646485,1-0,3,0.2231616238332343,1-0,3,0.2208113550018209,1-0,3,0.2184610861704072,1-0,3,0.2161108173389929,1-0,3,0.2137605485075815,1-0,3,0.2114102796761684,1-0,3,0.209060010844755,1-0,3,0.2067097420133417,1-0,3,0.197019960919399,1-0,3,0.1735114952874924,1-0,3,0.1500030296555875,1-0,3,0.1264945640236831,1-0,3,0.1029860983917804,1-0,3,0.0794776327598787,1-0,3,0.0559691671279785,1-0,3,0.0324607014960787,1-0,3,0.0089522358641805,0-0,0,0.014556229767716,3,3,20,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05,blend065,blend06,blend075,blend07,blend085,blend08,blend095,blend09"
African Cup of Nations,2017,2017-01-15,Tunisia,Senegal,0,2,0.2883432821134922,0.3382033245390244,0.3734533933474834,0.2165176002978341,0.3115615562969591,0.4719208434046994,0.0984674500574697,away,away,False,0-0,0,0.0038146193790445,0-1,1,0.0445892760551779,0-1,1,0.0441240929238941,0-1,1,0.0436589097926103,0-1,1,0.0431937266613267,0-1,1,0.042728543530043,0-1,1,0.0422633603987593,0-1,1,0.0417981772674755,0-1,1,0.0413329941361921,0-1,1,0.0408678110049086,0-1,1,0.0404026278736249,0-1,1,0.0399374447423416,0-1,1,0.0394722616110578,0-1,1,0.0390070784797743,0-1,1,0.0385418953484911,0-1,1,0.0380767122172077,0-1,1,0.0376115290859243,0-1,1,0.0371463459546408,0-1,1,0.0290636022028311,0-1,1,0.0181041669212876,0-1,1,0.0071447316397451,0-0,0,0.0038147036417971,1,1,20,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05,blend065,blend06,blend075,blend07,blend085,blend08,blend095,blend09"
African Cup of Nations,2019,2019-07-17,Tunisia,Nigeria,0,1,0.2805259805804479,0.3450715642751716,0.3744024551443805,0.2822979606448242,0.2942491820230923,0.423452857331572,0.0508223822518235,away,away,False,0-0,0,0.0123119303745411,0-1,3,0.0372249289762265,0-1,3,0.0370093326346185,0-1,3,0.0367937362930109,0-1,3,0.0365781399514029,0-1,3,0.0363625436097949,0-1,3,0.0361469472681872,0-1,3,0.0359313509265794,0-1,3,0.0357157545849716,0-1,3,0.0355001582433638,0-1,3,0.0352845619017564,0-1,3,0.0350689655601486,0-1,3,0.0348533692185407,0-1,3,0.0346377728769328,0-1,3,0.0344221765353252,0-1,3,0.0338664488172311,0-1,3,0.024808574991687,0-1,3,0.0157507011661431,0-1,3,0.0066928273405996,0-0,0,0.0023650464849431,0-0,0,0.0114229203104855,0-0,0,0.0123121915341005,3,3,18,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05,blend065,blend06,blend075,blend07,blend085,blend08"
African Cup of Nations,2019,2019-07-11,Ivory Coast,Algeria,1,1,0.4552168724768937,0.2903341835782478,0.2544489439448584,0.2574130381513306,0.3133699310792728,0.4292170307698856,0.1978038343258076,home,away,True,2-1,0,0.0060500622630514,1-2,0,0.0369783362863331,1-2,0,0.0362254965079191,1-2,0,0.0354726567295049,1-2,0,0.0347198169510907,1-2,0,0.0339669771726764,1-2,0,0.0332141373942622,1-2,0,0.0324612976158479,1-2,0,0.024371201326356,1-2,0,0.0118655855453007,1-1,3,0.000640030235755,1-1,3,0.0131456460168115,1-1,3,0.0044935027038008,2-1,0,0.0049994287552872,2-1,0,0.005130898900667,2-1,0,0.0052623690460469,2-1,0,0.0053938391914268,2-1,0,0.0055253093368068,2-1,0,0.0056567794821866,2-1,0,0.0057882496275665,2-1,0,0.0059197197729464,2-1,0,0.0060511899183263,3,3,3,"blend045,blend055,blend05"
African Cup of Nations,2019,2019-07-10,Nigeria,South Africa,2,1,0.3581047678999749,0.3781321678523483,0.2637630642476767,0.4496518033334821,0.3273365016199142,0.2230116950470871,0.0915470354332654,draw,home,True,0-0,0,0.1216636494267234,1-0,1,0.1221798508755603,1-0,1,0.120936088140215,1-0,1,0.1196923254048697,1-0,1,0.1152914603886923,1-0,1,0.1013528785613379,1-0,1,0.0874142967339823,1-0,1,0.073475714906627,1-0,1,0.0595371330792706,1-0,1,0.0455985512519138,1-0,1,0.0316599694245561,1-0,1,0.0177213875971974,1-0,1,0.0037828057698384,0-0,0,0.0101557760575216,0-0,0,0.0240943578848816,0-0,0,0.0380329397122425,0-0,0,0.0519715215396048,0-0,0,0.0659101033669674,0-0,0,0.0798486851943304,0-0,0,0.0937872670216943,0-0,0,0.1077258488490584,0-0,0,0.1216644306764234,1,1,12,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05"
African Cup of Nations,2019,2019-07-06,Nigeria,Cameroon,3,2,0.334713045830105,0.3775355800240127,0.2877513741458822,0.3800441269159266,0.3417634016091863,0.2781924714753833,0.0453310810855734,draw,home,True,0-0,0,0.1137215022659946,1-0,1,0.0031923321885113,0-0,0,0.0048066159917465,0-0,0,0.0128055641720042,0-0,0,0.0208045123522628,0-0,0,0.0288034605325219,0-0,0,0.0368024087127807,0-0,0,0.0448013568930411,0-0,0,0.0528003050733015,0-0,0,0.060799253253562,0-0,0,0.0687982014338226,0-0,0,0.0767971496140842,0-0,0,0.0847960977943461,0-0,0,0.0927950459746079,0-0,0,0.1007939941548705,0-0,0,0.1087929423351337,0-0,0,0.1110283356598798,0-0,0,0.1115671047681334,0-0,0,0.112105873876387,0-0,0,0.1126446429846407,0-0,0,0.1131834120928945,0-0,0,0.1137221812011481,1,1,1,blend00
African Cup of Nations,2019,2019-07-05,Uganda,Senegal,0,1,0.153667533059046,0.418316360571702,0.4280161063692518,0.1121837203648296,0.2492409883251555,0.6385752913105267,0.2105591849410188,away,away,False,0-0,0,0.1287413288346445,0-1,3,0.3173145883266164,0-1,3,0.3120831377837361,0-1,3,0.3068516872408565,0-1,3,0.3016202366979753,0-1,3,0.2963887861550944,0-1,3,0.2911573356122133,0-1,3,0.2859258850693315,0-1,3,0.280694434526449,0-1,3,0.2754629839835681,0-1,3,0.2702315334406854,0-1,3,0.2650000828978019,0-1,3,0.2525952196865941,0-1,3,0.2102244474458027,0-1,3,0.1678536752050081,0-1,3,0.1254829029642109,0-1,3,0.0831121307234122,0-1,3,0.0407413584826115,0-0,0,0.0016294137581917,0-0,0,0.0440001859989973,0-0,0,0.086370958239805,0-0,0,0.1287417304806146,3,3,17,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05,blend065,blend06,blend075,blend07,blend08"
African Cup of Nations,2019,2019-06-28,Morocco,Ivory Coast,1,0,0.2994329919475064,0.359175503451768,0.3413915046007255,0.4292541465563196,0.3205047891722479,0.2502410642719103,0.1298211546085742,draw,home,True,0-0,0,0.0497688070976722,1-0,3,0.0901004925249382,1-0,3,0.0887380187941392,1-0,3,0.08737554506334,1-0,3,0.0860130713325405,1-0,3,0.0827895701792148,1-0,3,0.0671484918102583,1-0,3,0.0515074134413012,1-0,3,0.0358663350723438,1-0,3,0.0202252567033848,1-0,3,0.0045841783344247,0-0,0,0.0110569000345348,0-0,0,0.0266979784034959,0-0,0,0.0423390567724571,0-0,0,0.0478939358696153,0-0,0,0.048161857503745,0-0,0,0.0484297791378744,0-0,0,0.0486977007720044,0-0,0,0.048965622406134,0-0,0,0.0492335440402635,0-0,0,0.0495014656743931,0-0,0,0.0497693873085229,3,3,10,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04"
African Cup of Nations,2019,2019-06-27,Kenya,Tanzania,3,2,0.331967529034693,0.407806511617917,0.26022595934739,0.4348998055230286,0.3123945846828731,0.2527056097945643,0.1029322764881026,draw,home,True,0-0,0,0.2323016330190326,1-0,1,0.1773971005953468,1-0,1,0.156293590252521,1-0,1,0.135190079909694,1-0,1,0.1140865695668654,1-0,1,0.0929830592240362,1-0,1,0.071879548881206,1-0,1,0.0507760385383748,1-0,1,0.0296725281955426,1-0,1,0.0085690178527095,0-0,0,0.0125344924901246,0-0,0,0.0336380028329594,0-0,0,0.0547415131757954,0-0,0,0.0758450235186325,0-0,0,0.0969485338614707,0-0,0,0.11805204420431,0-0,0,0.1391555545471501,0-0,0,0.1602590648899907,0-0,0,0.1813625752328334,0-0,0,0.2024660855756758,0-0,0,0.2235695959185197,0-0,0,0.2323021347534493,1,1,9,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend04"
African Cup of Nations,2022,2022-01-09,Cameroon,Burkina Faso,2,1,0.3283854329652464,0.3741822880286123,0.2974322790061412,0.5837300166304283,0.2664445528941182,0.1498254304759085,0.2553445836649544,draw,home,True,0-0,0,0.1583384374516664,1-0,1,0.2466486786185709,1-0,1,0.2412540267796178,1-0,1,0.2358593749406632,1-0,1,0.2304647231017088,1-0,1,0.2250700712627528,1-0,1,0.2196754194237976,1-0,1,0.2142807675848429,1-0,1,0.2088861157458869,1-0,1,0.2034914639069308,1-0,1,0.1980968120679747,1-0,1,0.1927021602290181,1-0,1,0.17603681635232,1-0,1,0.138883951679975,1-0,1,0.1017310870076281,1-0,1,0.0645782223352795,1-0,1,0.0274253576629286,0-0,0,0.009727507009423,0-0,0,0.0468803716817767,0-0,0,0.0840332363541318,0-0,0,0.1211861010264893,0-0,0,0.1583389656988478,1,1,16,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05,blend065,blend06,blend075,blend07"
African Cup of Nations,2024,2024-01-28,Egypt,DR Congo,1,1,0.4770242941015,0.3328953973444578,0.190080308554042,0.3653756161754969,0.336093999476099,0.2985303843479104,0.1116486779257563,home,home,False,1-0,0,0.1115293921744188,0-0,1,0.0458909957343626,0-0,1,0.0352599699774059,0-0,1,0.0246289442204495,0-0,1,0.0139979184634936,0-0,1,0.0033668927065387,1-0,0,0.0072641330504162,1-0,0,0.0178951588073705,1-0,0,0.0285261845643237,1-0,0,0.0391572103212776,1-0,0,0.04978823607823,1-0,0,0.0604192618351819,1-0,0,0.0710502875921332,1-0,0,0.0816813133490842,1-0,0,0.0923123391060349,1-0,0,0.1029433648629847,1-0,0,0.1050055934342508,1-0,0,0.1063108059902095,1-0,0,0.1076160185461683,1-0,0,0.1089212311021268,1-0,0,0.1102264436580851,1-0,0,0.1115316562140436,1,1,5,"blend005,blend00,blend015,blend01,blend02"
African Cup of Nations,2024,2024-01-27,Nigeria,Cameroon,2,0,0.3069593010902063,0.3448393656968064,0.3482013332129873,0.4793488122708192,0.3070752537235995,0.2135759340050746,0.1723895111808661,away,home,True,0-0,0,0.0478542884386981,1-0,1,0.1708232911006741,1-0,1,0.1677516089667761,1-0,1,0.1646799268328782,1-0,1,0.1616082446989807,1-0,1,0.1585365625650829,1-0,1,0.1554648804311857,1-0,1,0.1523931982972886,1-0,1,0.1493215161633917,1-0,1,0.1307218925602374,1-0,1,0.1102057543901794,1-0,1,0.0896896162201229,1-0,1,0.0691734780500675,1-0,1,0.0486573398800129,1-0,1,0.0281412017099589,1-0,1,0.0076250635399073,0-0,0,0.0128910746301441,0-0,0,0.0334072128001948,0-0,0,0.053923350970244,0-0,0,0.0656253536324876,0-0,0,0.0567400001501269,0-0,0,0.0478546466677654,1,1,15,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05,blend065,blend06,blend07"
African Cup of Nations,2024,2024-01-27,Angola,Namibia,3,0,0.350568569745021,0.3686406428591175,0.2807907873958615,0.4242773518912927,0.3223770331779525,0.2533456149312257,0.0737087821460362,draw,home,True,0-0,0,0.1070285762738342,1-0,1,0.1411192802054726,1-0,1,0.1287118686525918,1-0,1,0.1163044570997102,1-0,1,0.1038970455468277,1-0,1,0.0914896339939455,1-0,1,0.079082222441062,1-0,1,0.0666748108881783,1-0,1,0.0542673993352942,1-0,1,0.041859987782409,1-0,1,0.0294525762295233,1-0,1,0.0170451646766371,1-0,1,0.0046377531237508,0-0,0,0.0077696584291364,0-0,0,0.020177069982024,0-0,0,0.032584481534913,0-0,0,0.0449918930878021,0-0,0,0.0573993046406917,0-0,0,0.069806716193582,0-0,0,0.0822141277464723,0-0,0,0.0946215392993641,0-0,0,0.1070289508522557,1,1,12,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05"
African Cup of Nations,2024,2024-01-20,Mauritania,Angola,2,3,0.238341342354391,0.3697056040057307,0.3919530536398782,0.2915514384427717,0.3313690699653467,0.3770794915923799,0.0532100960881315,away,away,False,0-0,0,0.0452489940756647,0-1,1,0.0105753312871818,0-1,1,0.0077841048981708,0-1,1,0.0049928785091595,0-1,1,0.0022016521201475,0-0,0,0.0005895742688641,0-0,0,0.0033808006578754,0-0,0,0.0061720270468879,0-0,0,0.0089632534359003,0-0,0,0.0117544798249124,0-0,0,0.0145457062139249,0-0,0,0.0173369326029376,0-0,0,0.0201281589919508,0-0,0,0.0229193853809631,0-0,0,0.0257106117699765,0-0,0,0.0285018381589892,0-0,0,0.031293064548003,0-0,0,0.0340842909370162,0-0,0,0.0368755173260297,0-0,0,0.0396667437150437,0-0,0,0.0424579701040572,0-0,0,0.0452491964930712,1,1,4,"blend005,blend00,blend015,blend01"
African Cup of Nations,2024,2024-01-19,Senegal,Cameroon,3,1,0.4004590559795787,0.3654422854288594,0.2340986585915617,0.5205808250585042,0.2974178409642151,0.1820013339777455,0.120121769078693,home,home,False,0-0,0,0.0210425904816882,1-0,1,0.1989882153139364,1-0,1,0.1966924319025291,1-0,1,0.1943966484911213,1-0,1,0.1921008650797139,1-0,1,0.1898050816683063,1-0,1,0.1875092982568987,1-0,1,0.1852135148454907,1-0,1,0.1829177314340828,1-0,1,0.1806219480226748,1-0,1,0.1783261646112667,1-0,1,0.1722819895077694,1-0,1,0.1529495202611969,1-0,1,0.133617051014623,1-0,1,0.1142845817680489,1-0,1,0.0949521125214738,1-0,1,0.0756196432748975,1-0,1,0.0562871740283207,1-0,1,0.0369547047817429,1-0,1,0.0176222355351639,0-0,0,0.0017102337114156,0-0,0,0.0210427029579962,1,1,19,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05,blend065,blend06,blend075,blend07,blend085,blend08,blend09"
