elite,caf,concacaf,afc,ofc,avg_margin,combo_time_s,pts_2002,margin_2002,time_2002,pts_2006,margin_2006,time_2006,pts_2010,margin_2010,time_2010,pts_2018,margin_2018,time_2018,pts_2022,margin_2022,time_2022
1.2,1.05,1.1,0.95,1.0,14.37730389565974,411.6,53,11.977272727272728,78.6,67,17.328125,84.0,60,16.604651162790695,80.3,62,17.0,87.3,53,8.976470588235294,81.4
1.15,1.05,1.1,1.0,0.95,14.37730389565974,388.1,53,11.977272727272728,72.7,67,17.328125,79.0,60,16.604651162790695,77.1,62,17.0,81.5,53,8.976470588235294,77.8
1.15,1.05,1.05,0.95,0.95,14.37730389565974,392.8,53,11.977272727272728,73.9,67,17.328125,80.3,60,16.604651162790695,77.4,62,17.0,80.9,53,8.976470588235294,80.2
1.15,1.0,1.1,1.0,1.0,14.37730389565974,393.8,53,11.977272727272728,73.3,67,17.328125,81.6,60,16.604651162790695,78.1,62,17.0,81.2,53,8.976470588235294,79.6
1.15,1.05,1.1,0.95,1.0,14.37730389565974,393.9,53,11.977272727272728,74.1,67,17.328125,80.2,60,16.604651162790695,78.0,62,17.0,81.6,53,8.976470588235294,80.1
1.2,1.0,1.1,1.05,1.0,14.177303895659742,395.8,53,11.977272727272728,74.7,67,17.328125,80.1,60,16.604651162790695,79.1,61,16.0,81.6,53,8.976470588235294,80.2
1.2,1.0,1.1,0.95,1.0,14.177303895659742,396.4,53,11.977272727272728,75.4,66,16.328125,80.8,60,16.604651162790695,79.5,62,17.0,81.3,53,8.976470588235294,79.5
1.15,1.0,1.1,1.0,0.95,14.177303895659742,395.1,53,11.977272727272728,73.8,67,17.328125,81.4,60,16.604651162790695,78.0,61,16.0,81.5,53,8.976470588235294,80.4
1.15,1.0,1.1,0.95,1.0,14.177303895659742,394.1,53,11.977272727272728,72.8,67,17.328125,81.0,60,16.604651162790695,78.6,61,16.0,82.6,53,8.976470588235294,79.1
1.2,1.05,1.0,0.95,1.0,14.177303895659742,406.9,53,11.977272727272728,72.8,66,16.328125,79.8,60,16.604651162790695,80.7,62,17.0,87.7,53,8.976470588235294,85.8
1.2,1.05,1.05,1.0,0.9,14.177303895659742,413.5,53,11.977272727272728,79.4,67,17.328125,84.3,60,16.604651162790695,81.9,61,16.0,86.7,53,8.976470588235294,81.1
1.2,1.05,1.1,0.95,0.95,14.177303895659742,411.6,53,11.977272727272728,78.5,66,16.328125,84.4,60,16.604651162790695,80.5,62,17.0,86.4,53,8.976470588235294,81.8
1.15,1.05,1.1,1.0,1.0,14.177303895659742,391.1,53,11.977272727272728,72.8,67,17.328125,80.4,60,16.604651162790695,76.6,61,16.0,81.5,53,8.976470588235294,79.8
1.15,1.05,1.05,0.95,0.9,14.177303895659742,394.6,53,11.977272727272728,74.8,67,17.328125,79.9,60,16.604651162790695,78.1,61,16.0,81.7,53,8.976470588235294,80.2
1.2,1.0,1.05,1.0,0.9,14.177303895659742,397.4,53,11.977272727272728,73.9,67,17.328125,81.3,60,16.604651162790695,78.4,61,16.0,82.7,53,8.976470588235294,81.1
1.2,1.0,1.1,1.0,0.95,14.177303895659742,396.0,53,11.977272727272728,74.6,67,17.328125,79.8,60,16.604651162790695,79.1,61,16.0,82.6,53,8.976470588235294,79.7
1.2,1.05,1.0,0.95,0.9,14.177303895659742,395.8,53,11.977272727272728,74.9,66,16.328125,79.9,60,16.604651162790695,79.0,62,17.0,81.6,53,8.976470588235294,80.5
1.15,1.1,1.1,0.95,1.0,14.177303895659742,394.0,53,11.977272727272728,73.8,67,17.328125,79.9,60,16.604651162790695,78.2,61,16.0,82.0,53,8.976470588235294,80.1
1.2,1.0,1.0,0.95,1.0,14.177303895659742,396.7,53,11.977272727272728,73.6,66,16.328125,81.4,60,16.604651162790695,79.5,62,17.0,81.7,53,8.976470588235294,80.5
1.2,1.0,1.05,0.95,1.0,14.177303895659742,397.6,53,11.977272727272728,74.6,66,16.328125,81.4,60,16.604651162790695,78.1,62,17.0,83.4,53,8.976470588235294,80.2
1.15,1.1,1.1,1.0,0.9,14.177303895659742,395.0,53,11.977272727272728,72.5,67,17.328125,80.6,60,16.604651162790695,79.3,61,16.0,81.9,53,8.976470588235294,80.7
1.2,1.0,1.05,0.95,0.95,14.177303895659742,396.5,53,11.977272727272728,74.4,66,16.328125,80.9,60,16.604651162790695,78.1,62,17.0,82.3,53,8.976470588235294,80.9
